UserId,Country,DOB,Gender,RegDate
1326865,DE,04-05-1988,M,24-03-2016
1333278,GB,21-07-1971,M,09-02-2016
1336967,GB,31-07-1983,M,29-01-2016
1339784,Other,21-09-1976,M,21-01-2016
1339829,Other,03-05-1981,F,12-04-2016
1346806,DE,04-08-1984,M,08-05-2016
1361182,GB,30-09-1986,M,26-11-2015
1392534,FR,31-03-1973,M,25-02-2016
1405503,DE,03-05-1983,M,14-05-2016
1415290,GB,05-11-1984,F,14-01-2016
1417297,Other,11-01-1980,M,28-05-2016
1494447,GB,08-08-1996,M,21-12-2015
1610096,GB,17-06-1962,F,31-05-2016
1617757,Other,24-11-1978,F,05-06-2016
1618208,DE,18-12-1973,M,22-02-2016
1629211,GB,29-03-1986,F,20-01-2016
1632830,GB,25-08-1991,M,15-03-2016
1694925,GB,30-07-1984,F,02-06-2016
1708806,GB,21-01-1984,M,26-07-2016
1728899,Other,06-01-1977,M,11-03-2016
1729986,GB,16-04-1975,F,31-05-2016
1734610,GB,23-05-1997,M,01-02-2016
1738641,GB,23-07-1984,M,03-06-2016
1781700,Other,14-10-1989,M,01-08-2016
1784259,Other,12-03-1990,F,21-07-2016
1792875,DE,18-04-1968,F,17-03-2016
1816994,GB,24-07-1976,M,06-08-2016
1829548,Other,26-09-1984,F,18-06-2016
1829794,Other,19-03-1992,F,03-06-2016
1831652,GB,05-04-1983,M,13-06-2016
1832338,GB,04-07-1964,F,02-09-2016
1832388,DE,25-06-1991,M,09-05-2016
1833302,GB,29-12-1961,F,13-06-2016
1836937,DE,27-03-1985,F,29-07-2016
1838670,FR,03-12-1982,F,04-03-2016
1840354,DE,29-12-1975,F,20-05-2016
1860057,FR,12-06-1985,M,17-06-2016
1862459,Other,29-12-1981,M,30-04-2016
1870718,GB,06-07-1992,M,11-03-2016
1871770,FR,29-06-1983,M,17-04-2016
1875951,GB,15-09-1980,F,29-08-2016
1898372,GB,04-11-1991,M,02-05-2016
1905665,DE,16-06-1977,F,20-07-2016
1907382,FR,02-11-1982,F,24-05-2016
1909115,Other,01-04-1973,F,01-05-2016
1909867,GB,17-05-1988,M,22-07-2016
1914253,GB,23-05-1997,M,21-08-2016
1915977,US,05-12-1995,M,08-06-2016
1920020,GB,16-01-1997,F,19-06-2016
1938362,GB,01-12-1986,M,23-07-2016
1962310,US,26-12-1996,M,17-07-2016
1978033,GB,11-09-1983,F,24-04-2016
1978075,GB,26-07-1978,F,08-07-2016
1980325,GB,13-03-1988,M,20-04-2016
1984531,Other,01-11-1973,M,30-08-2016
1984574,GB,04-07-1991,M,07-04-2016
1985150,GB,14-05-1980,M,19-05-2016
1985299,Other,02-03-1987,M,27-03-2016
1985420,GB,22-08-1947,M,09-09-2016
1995887,Other,16-08-1978,M,23-05-2016
1997444,Other,22-07-1986,F,23-04-2016
1997883,GB,02-07-1982,M,23-09-2016
1999950,GB,23-07-1984,M,10-04-2016
2000334,GB,03-05-1985,F,19-05-2016
2000801,GB,07-12-1967,M,20-08-2016
2003057,US,02-01-1977,M,29-08-2016
2005655,Other,12-12-1988,M,10-09-2016
2008767,DE,21-11-1980,M,05-05-2016
2011718,GB,29-10-1982,F,31-07-2016
2016940,GB,26-07-1990,M,27-06-2016
2025406,GB,13-11-1988,F,10-05-2016
2028366,DE,23-09-1983,M,28-09-2016
2034938,GB,24-12-1985,F,19-10-2016
2042702,DE,04-07-1955,M,06-10-2016
2043772,DE,29-04-1982,F,21-06-2016
2055007,Other,21-03-1963,F,15-09-2016
2063036,GB,26-12-1974,F,21-06-2016
2087613,Other,27-11-1980,F,09-07-2016
2088269,DE,23-05-1964,F,10-08-2016
