UserId,SendDate,OfferId,UserId,Date,Revenue
1336967,2016-12-13,3,1336967,2016-12-12,20
1339829,2017-02-19,1,1339829,2017-02-19,17.05
1417297,2017-04-16,8,1417297,2017-04-16,11.68
1610096,2017-09-07,10,1610096,2017-09-06,100
1617757,2017-03-13,9,1617757,2017-03-13,11.68
1629211,2016-11-23,8,1629211,2016-11-23,55
1629211,2017-02-05,3,1629211,2017-02-04,30
1629211,2017-03-21,5,1629211,2017-03-21,201
1629211,2017-03-23,3,1629211,2017-03-22,200
1629211,2017-03-23,3,1629211,2017-03-23,300
1629211,2017-04-08,4,1629211,2017-04-07,194
1629211,2017-04-08,4,1629211,2017-04-08,23.9
1629211,2017-04-10,1,1629211,2017-04-09,331
1629211,2017-04-10,1,1629211,2017-04-10,50
1629211,2017-04-16,2,1629211,2017-04-15,21
1629211,2017-04-20,7,1629211,2017-04-20,41
1629211,2017-07-11,6,1629211,2017-07-11,24
1632830,2016-12-19,7,1632830,2016-12-18,20
1694925,2017-04-06,5,1694925,2017-04-05,20
1708806,2017-04-28,10,1708806,2017-04-27,20
1708806,2017-04-28,10,1708806,2017-04-28,20
1708806,2017-04-30,7,1708806,2017-04-29,20
1728899,2017-01-04,3,1728899,2017-01-03,12.4
1792875,2016-12-19,1,1792875,2016-12-18,18.18
1792875,2017-04-22,7,1792875,2017-04-21,17.87
1792875,2017-06-11,7,1792875,2017-06-11,18.76
1816994,2017-09-07,6,1816994,2017-09-07,20
1829794,2017-01-04,8,1829794,2017-01-04,11.68
1829794,2017-07-11,9,1829794,2017-07-11,11.81
1862459,2016-12-05,5,1862459,2016-12-05,11.68
1875951,2017-04-28,2,1875951,2017-04-27,20
1905665,2017-09-13,1,1905665,2017-09-13,17.91
1909115,2017-05-28,7,1909115,2017-05-28,14.76
1915977,2017-01-16,1,1915977,2017-01-16,17.05
1938362,2017-03-09,2,1938362,2017-03-09,20
1938362,2017-07-03,2,1938362,2017-07-03,20
1978075,2017-01-12,8,1978075,2017-01-11,20
1978075,2017-07-11,7,1978075,2017-07-10,20
1984574,2017-07-13,8,1984574,2017-07-12,20
1997883,2017-03-27,1,1997883,2017-03-26,30
2000801,2017-09-23,5,2000801,2017-09-23,20
2003057,2017-03-15,7,2003057,2017-03-14,17.05
2016940,2017-01-16,6,2016940,2017-01-16,20
2025406,2017-07-19,6,2025406,2017-07-18,40
2034938,2017-05-24,9,2034938,2017-05-24,20
2055007,2017-05-28,3,2055007,2017-05-27,69.87
2088598,2017-01-20,6,2088598,2017-01-20,20
2098285,2017-03-21,3,2098285,2017-03-21,20
2100379,2016-12-23,7,2100379,2016-12-22,17.05
2106398,2017-01-04,1,2106398,2017-01-04,18.76
2109393,2017-05-06,5,2109393,2017-05-06,20
2122510,2017-03-01,10,2122510,2017-03-01,20
2127797,2017-08-08,10,2127797,2017-08-07,20
2127797,2017-08-08,10,2127797,2017-08-08,20
2165883,2017-04-22,10,2165883,2017-04-21,17.16
2166080,2017-05-24,2,2166080,2017-05-23,17.09
2181012,2017-04-20,2,2181012,2017-04-19,21.36
2216504,2016-11-25,6,2216504,2016-11-25,18.76
2237805,2017-06-21,8,2237805,2017-06-20,51.03
2244189,2017-06-19,10,2244189,2017-06-18,50
2244189,2017-06-19,10,2244189,2017-06-19,50
2256599,2016-11-29,4,2256599,2016-11-28,18.18
2325333,2016-12-07,7,2325333,2016-12-06,20
2325333,2017-01-02,2,2325333,2017-01-01,20
2341733,2017-04-30,8,2341733,2017-04-30,20
2350434,2017-04-30,8,2350434,2017-04-30,20
2351823,2017-05-03,8,2351823,2017-05-02,17.05
2351823,2017-07-18,4,2351823,2017-07-18,17.01
